Date,Topic2,Topic6,Topic8,Topic13,Topic14,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic9,MA_PRICE,Price,Topic54,Topic85
1/1/18,1,2,97,50,5,4,6,25,46,14,26,0,7,3,14398.23848,14165.575,6,26
2/1/18,12,7,91,131,9,5,9,73,115,29,60,9,11,6,14042.81148,13812.1867,10,49
3/1/18,7,14,89,113,13,24,7,54,88,27,53,5,16,17,14167.86648,15005.8567,12,44
4/1/18,4,2,47,87,0,29,5,38,71,19,30,11,8,5,14250.49082,15053.2617,6,34
5/1/18,13,9,33,118,4,14,5,54,99,33,46,13,9,9,14647.24702,15199.355,5,51
6/1/18,9,2,122,91,4,16,1,20,75,17,28,2,5,10,15248.95602,17174.12,9,39
7/1/18,7,6,36,79,9,9,4,38,63,28,34,8,6,6,15950.35828,17319.198,6,25
8/1/18,10,1,107,117,9,9,9,51,99,33,41,9,7,12,16279.48128,16651.4717,19,50
9/1/18,10,6,26,58,2,6,2,28,49,18,21,3,5,8,16322.01028,15265.9067,3,34
10/1/18,16,7,43,77,6,3,3,37,59,17,27,6,9,14,16224.98994,14714.2533,7,38
11/1/18,7,3,128,119,8,9,9,48,91,22,53,2,10,10,15815.4456,15126.3983,15,47
12/1/18,4,3,28,44,1,5,5,28,39,19,23,8,2,7,15010.9648,13296.794,10,23
13/1/18,15,10,149,121,8,15,7,66,112,46,73,14,15,16,14463.24686,13912.882,13,108
14/1/18,0,5,19,62,6,7,6,32,40,17,32,2,4,11,14310.02018,14499.7733,4,19
15/1/18,4,4,38,73,5,2,5,42,45,23,36,6,11,11,14137.75352,13852.92,6,35
16/1/18,6,6,9,57,11,7,4,28,63,24,37,6,6,17,13914.91306,14012.196,13,36
17/1/18,12,2,25,71,2,8,4,28,39,11,23,9,9,12,13491.75392,11180.9983,5,28
18/1/18,3,17,59,85,3,9,5,56,67,29,45,6,12,8,12932.56686,11116.9467,7,40
19/1/18,2,2,20,44,15,5,5,19,21,16,19,2,5,11,12301.69686,11345.4233,10,22
20/1/18,2,2,20,30,6,1,2,10,20,0,16,1,1,2,11815.60086,11422.44,3,8
21/1/18,3,2,96,67,7,4,4,23,48,24,49,0,8,11,11603.32032,12950.7933,8,27
22/1/18,8,2,121,80,7,10,6,31,64,20,30,1,6,9,11668.16626,11505.228,4,46
23/1/18,2,4,108,77,1,7,8,21,45,16,29,5,5,5,11553.69558,10544.5933,5,30
24/1/18,10,7,40,103,6,4,6,49,66,21,40,4,3,11,11529.22372,11223.064,6,33
25/1/18,11,10,405,180,7,11,17,74,137,53,119,9,9,24,11501.18738,11282.2583,16,84
26/1/18,2,7,75,40,13,6,20,13,29,14,19,1,3,4,11153.91672,11214.44,7,27
27/1/18,7,1,31,29,5,3,0,22,25,8,17,3,2,3,11046.83412,10969.815,4,16
28/1/18,9,5,29,70,2,9,2,32,63,12,35,6,7,6,11242.8708,11524.7767,3,43
29/1/18,4,3,12,42,0,2,10,40,43,11,16,1,4,3,11351.4,11765.71,3,18
30/1/18,6,2,30,67,4,4,5,31,48,28,30,2,7,8,11337.47934,11212.655,4,24
31/1/18,4,3,218,84,6,3,5,29,59,22,37,5,5,10,11131.40368,10184.0617,7,50
1/2/18,10,4,19,74,4,4,8,33,62,7,27,2,4,4,10962.44334,10125.0133,10,15
2/2/18,4,0,7,41,1,5,1,26,34,17,14,5,3,11,10474.13966,9083.2583,5,12
3/2/18,6,2,7,47,3,3,4,12,42,9,14,5,2,4,9901.378,8901.9017,3,17
4/2/18,3,2,3,46,1,15,1,21,35,19,17,6,2,5,9474.18266,9076.6783,10,14
5/2/18,9,5,19,79,7,22,7,27,65,24,22,9,7,15,9117.49998,8400.6483,10,27
6/2/18,9,10,23,85,11,12,5,25,68,19,39,6,9,9,8460.26066,6838.8167,6,37
7/2/18,6,4,18,30,2,5,6,11,29,12,19,3,4,4,8180.73566,7685.6333,2,13
8/2/18,4,5,48,66,4,17,2,43,76,12,43,6,13,9,8020.34698,8099.9583,12,40
9/2/18,8,2,66,67,12,8,11,40,66,25,42,9,7,8,7853.11866,8240.5367,7,37
10/2/18,7,3,9,67,6,5,5,32,49,9,35,8,4,7,7880.09234,8535.5167,5,24
11/2/18,3,4,24,35,9,7,3,15,36,15,20,1,2,3,8176.30432,8319.8766,3,22
12/2/18,5,1,14,62,7,6,4,48,68,27,26,7,9,18,8307.86866,8343.455,3,35
13/2/18,5,2,47,55,5,2,3,18,44,14,24,5,3,10,8450.14566,8811.3433,3,19
14/2/18,6,1,12,53,8,4,2,31,61,17,41,5,5,3,8521.59182,8597.7675,7,27
15/2/18,17,7,192,139,6,5,10,44,122,39,96,5,13,14,8681.41514,9334.6333,8,100
16/2/18,3,3,87,48,4,0,3,20,36,10,38,3,8,4,9012.87062,9977.154,3,24
17/2/18,5,8,8,39,4,4,4,16,29,7,15,1,5,4,9369.61196,10127.1617,3,13
18/2/18,0,7,0,45,8,2,2,35,50,12,17,1,5,9,9775.74164,10841.9917,5,9
19/2/18,1,0,10,20,2,2,1,11,25,9,12,3,1,5,10156.8478,10503.2983,3,9
20/2/18,0,5,1,23,2,4,6,24,28,7,15,3,4,0,10512.11414,11110.965,2,8
21/2/18,3,2,29,50,6,2,2,18,45,12,27,3,2,7,10794.76168,11390.3917,7,22
22/2/18,7,2,43,58,3,13,1,27,45,12,29,3,7,7,10875.88768,10532.7917,6,26
