Date,Topic2,Topic6,Topic8,Topic13,Topic14,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic9,MA_PRICE,Price,Topic54,Topic85
31/3/18,11,6,166,120,3,6,8,37,71,15,59,15,7,8,7617.787,6882.5317,11,65
1/4/18,9,5,123,96,2,8,6,33,80,29,49,4,10,12,7365.37334,6935.48,10,49
2/4/18,8,5,122,71,2,10,4,30,53,24,34,8,13,10,7148.95534,6794.105,6,39
3/4/18,0,3,111,89,9,10,4,36,90,24,52,8,11,11,6964.049,7035.8483,7,37
4/4/18,4,2,19,26,5,3,2,17,32,11,16,3,4,4,7011.68,7410.435,2,11
5/4/18,4,4,2,41,2,7,4,36,38,15,23,0,6,10,6992.726,6787.7617,2,16
6/4/18,1,0,1,23,2,6,7,12,27,7,8,2,1,1,6970.932,6826.51,3,4
7/4/18,7,5,7,34,0,3,1,22,35,11,11,3,4,5,6932.88634,6603.8767,2,12
8/4/18,3,4,6,42,2,4,3,23,47,10,15,1,5,6,6911.25428,6927.688,5,14
9/4/18,2,2,5,19,3,8,5,14,24,8,5,4,1,6,6832.69862,7017.6567,3,10
10/4/18,3,5,46,49,4,4,7,24,45,14,21,1,5,6,6815.00094,6699.2733,4,26
11/4/18,4,0,3,47,4,1,3,27,32,15,21,4,5,6,6807.21328,6787.5717,4,18
12/4/18,4,4,5,36,1,3,1,16,40,13,11,3,4,5,6871.69128,6926.2667,4,14
13/4/18,3,0,29,62,5,4,0,19,47,15,28,8,5,6,7055.72268,7847.845,8,34
14/4/18,2,1,60,65,3,5,3,19,47,13,29,7,3,6,7231.273,7895.4083,9,45
15/4/18,5,4,131,70,4,5,6,32,54,21,37,4,8,19,7498.72056,8036.5111,24,57
16/4/18,4,3,68,49,1,7,5,32,41,11,26,2,6,7,7809.35588,8340.7483,14,27
17/4/18,2,4,95,61,2,8,8,21,49,22,43,1,5,6,8032.8632,8043.8033,5,41
18/4/18,1,5,72,58,2,2,7,21,41,12,32,6,5,5,8042.37758,7895.4169,5,29
19/4/18,4,5,35,52,0,6,8,27,31,14,16,4,5,4,8096.2834,8164.9374,8,32
20/4/18,6,1,1,17,1,2,1,13,14,5,15,2,5,1,8139.90618,8254.625,0,7
21/4/18,2,1,18,36,6,5,1,12,35,15,17,4,5,5,8242.30018,8852.7183,1,15
22/4/18,1,1,34,37,3,1,3,13,35,9,18,2,4,2,8394.98052,8807.205,4,14
23/4/18,2,1,7,20,0,1,2,14,29,12,9,2,2,1,8583.6068,8838.5483,3,6
24/4/18,3,5,53,73,2,10,7,36,52,14,32,3,3,7,8737.39166,8933.8617,8,37
25/4/18,3,3,66,44,3,7,4,26,48,15,34,11,3,9,8997.57506,9555.542,9,32
26/4/18,7,3,76,47,5,3,4,20,48,13,31,3,0,6,9026.13274,8995.5067,5,32
27/4/18,4,2,39,59,6,7,2,35,39,24,30,4,11,8,9116.3714,9258.3983,9,49
28/4/18,2,3,75,59,2,5,1,13,42,9,32,5,7,7,9150.72574,9010.32,3,33
29/4/18,7,1,67,45,1,6,3,14,40,18,19,3,2,8,9229.18806,9326.1733,3,30
30/4/18,2,3,6,28,5,0,2,19,23,10,12,3,6,1,9184.936,9334.2817,4,7
1/5/18,3,3,3,43,7,6,5,37,40,10,15,4,3,5,9237.74866,9259.57,3,19
2/5/18,4,2,119,91,5,7,5,46,73,33,46,8,6,7,9201.09634,9075.1367,8,39
3/5/18,3,4,1,31,4,4,6,20,41,10,15,1,3,1,9243.31754,9221.426,1,24
4/5/18,2,2,57,53,7,8,3,29,53,27,41,4,4,7,9305.93654,9639.2683,5,29
5/5/18,4,6,52,47,1,4,4,31,36,10,34,1,3,2,9381.2262,9710.73,0,17
6/5/18,7,2,98,92,9,1,7,36,63,23,48,2,9,9,9489.97354,9803.3067,7,62
7/5/18,4,2,37,67,3,5,6,20,45,21,29,7,5,4,9600.97346,9630.1363,6,33
8/5/18,6,8,26,87,10,12,7,52,106,28,41,5,6,6,9625.82626,9345.69,8,32
9/5/18,7,5,38,64,5,2,4,34,60,16,20,7,8,13,9543.69426,9228.6083,4,31
10/5/18,4,7,71,61,4,2,1,20,46,12,32,6,1,5,9465.9566,9322.0417,4,23
11/5/18,7,3,50,66,3,4,1,25,58,22,28,7,5,13,9325.59192,9101.4833,4,36
12/5/18,3,6,10,23,2,3,2,18,14,3,11,2,1,3,9093.32226,8468.788,0,5
13/5/18,11,3,33,75,4,2,4,33,45,10,25,3,9,6,8921.0536,8484.3467,4,41
14/5/18,8,8,384,186,8,8,15,38,127,56,93,4,6,18,8820.86228,8727.6517,13,125
15/5/18,7,5,54,74,8,7,4,30,32,15,35,4,3,4,8686.8616,8652.0383,11,33
16/5/18,6,5,12,34,3,5,7,23,46,20,12,3,2,7,8568.85654,8511.458,2,15
17/5/18,4,2,14,23,2,2,0,11,27,9,8,4,1,2,8543.2396,8340.7033,4,17
18/5/18,1,1,11,31,2,1,2,41,41,13,21,1,4,8,8467.59392,8106.1183,8,19
19/5/18,2,1,0,15,3,0,3,10,26,7,4,0,1,4,8370.07458,8240.055,3,12
20/5/18,4,2,59,41,1,6,3,19,46,9,19,1,0,3,8284.32458,8223.2883,2,24
21/5/18,1,0,18,27,0,2,1,10,40,7,17,1,1,4,8283.51432,8507.4067,4,8
22/5/18,5,2,3,41,9,11,1,41,50,8,28,4,8,10,8292.4849,8385.5562,8,27
23/5/18,1,6,7,64,8,6,4,23,59,24,35,11,6,7,8274.37724,8015.58,8,36
24/5/18,2,1,10,35,5,2,3,27,40,18,14,1,5,3,8137.51424,7555.74,3,15
25/5/18,3,1,45,43,4,3,3,24,50,21,38,0,4,8,8006.09524,7566.1933,5,32
26/5/18,9,5,35,57,3,3,0,28,54,17,27,2,3,5,7793.66156,7445.2383,5,22
27/5/18,2,6,5,31,1,4,5,28,55,12,14,1,6,9,7585.13198,7342.9083,5,23
28/5/18,7,7,20,55,5,6,6,34,51,10,25,5,10,5,7454.38232,7361.8317,4,21
29/5/18,7,2,82,59,8,2,4,27,60,14,43,8,9,6,7369.34266,7130.5417,8,38
30/5/18,7,17,56,79,2,1,7,35,61,21,44,6,10,11,7348.07934,7459.8767,4,47
31/5/18,1,2,9,27,6,6,8,24,30,5,16,3,1,3,7336.11068,7385.395,2,16
1/6/18,1,4,45,51,2,8,4,36,44,19,34,6,3,6,7365.81582,7491.434,3,11
2/6/18,5,4,47,30,2,3,3,15,43,12,27,7,4,4,7400.47882,7535.1467,7,34
3/6/18,2,3,8,29,0,3,0,11,27,8,8,1,0,4,7503.39982,7645.1467,1,14
4/6/18,1,1,17,38,0,2,4,17,17,13,17,2,4,7,7551.40168,7699.886,3,14
5/6/18,1,6,45,46,5,1,1,22,42,14,23,1,1,6,7574.37734,7500.2733,4,24
6/6/18,1,2,14,65,1,4,3,24,31,16,14,5,6,9,7599.23496,7615.7221,2,16
7/6/18,0,2,3,26,4,0,0,9,21,4,6,3,1,3,7623.32828,7655.6133,3,2
8/6/18,3,1,5,52,2,7,10,25,52,18,24,1,3,7,7629.55328,7676.2717,5,21
9/6/18,2,2,8,34,2,1,3,19,28,6,11,3,5,4,7613.60674,7620.1533,13,18
