,Topic2,Topic6,Topic8,Topic12,Topic17,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic93,Price_MA,Value
2018/7/11,5,12,2,4,12,4,1,18,23,6,19,7,4,0,6648.91726,6510.7917
2018/7/12,2,5,3,6,10,2,2,33,38,15,11,0,4,3,6630.40026,6377.3633
2018/7/13,1,4,0,3,19,2,4,33,52,16,11,0,3,2,6591.97368,6233.595
2018/7/14,3,1,4,2,12,2,4,23,26,8,14,5,1,3,6519.83634,6244.3575
2018/7/15,5,1,2,1,5,2,4,6,18,6,6,0,4,3,6417.996,6241
2018/7/16,3,2,1,1,9,5,9,17,42,18,9,4,2,4,6321.4215,6316.8817
2018/7/17,2,1,3,3,14,1,2,26,29,16,24,5,8,1,6282.6395,6514.3908
2018/7/18,2,3,6,6,10,3,7,30,48,10,26,2,3,2,6310.045,6869.9108
2018/7/19,3,3,9,0,10,3,0,27,33,8,12,2,4,7,6437.30816,7398.6617
2018/7/20,7,8,68,7,15,2,3,35,58,22,39,8,6,1,6668.169,7396.4017
2018/7/21,6,3,2,2,6,3,2,16,23,13,8,2,6,3,6899.24934,7428.045
2018/7/22,2,7,6,6,15,4,1,32,71,18,24,2,9,3,7121.482,7352.4954
2018/7/23,3,3,9,0,14,1,1,14,13,11,16,3,1,3,7289.10292,7451.2892
2018/7/24,17,6,2,8,19,5,2,52,77,22,39,3,8,16,7405.3786,7689.8842
2018/7/25,6,7,2,2,20,5,2,17,18,3,10,4,5,3,7463.6231,8112.93
2018/7/26,3,3,2,6,13,6,8,37,55,13,19,5,5,3,7606.92876,8251.165
2018/7/27,3,5,2,1,11,7,0,9,25,8,18,2,2,0,7771.55276,8187.3242
2018/7/28,2,3,71,3,16,3,15,36,57,13,26,1,5,3,7938.51852,8025.2575
2018/7/29,2,1,5,0,5,2,1,20,21,6,21,1,4,1,8053.31218,8182.2517
2018/7/30,1,3,9,3,8,3,6,25,33,9,18,1,3,3,8151.78568,8206.3417
2018/7/31,3,2,4,2,21,7,3,38,49,21,21,4,5,5,8170.46802,8143.1483
2018/8/1,2,8,5,9,5,2,2,27,33,9,12,4,8,4,8148.86468,7916.8008
2018/8/2,2,0,1,5,16,4,2,13,34,10,10,4,0,3,8094.76,7570.8692
2018/8/3,5,3,3,1,7,3,4,17,40,16,25,1,1,6,8003.88234,7593.1492
2018/8/4,5,3,3,4,6,4,3,13,27,11,17,3,1,4,7886.06184,7394.4992
2018/8/5,0,0,2,2,1,3,2,12,17,10,15,1,2,3,7723.69334,7247.7692
2018/8/6,3,2,14,7,7,2,1,20,21,9,14,3,4,0,7544.61752,6998.7183
2018/8/7,3,4,72,6,15,6,4,21,52,18,30,2,4,1,7361.00102,6988.0792
2018/8/8,2,3,3,7,22,5,3,27,38,11,19,7,1,3,7244.44302,6993.5133
2018/8/9,7,1,0,3,9,3,4,22,31,18,17,2,2,1,7124.51584,6450.3669
2018/8/10,7,5,9,18,18,11,7,85,103,54,56,6,16,8,6935.68938,6396.7725
2018/8/11,6,5,4,4,5,6,9,41,48,24,28,3,1,7,6765.49004,6396.4947
2018/8/12,2,3,6,1,7,1,4,40,55,25,26,5,3,4,6645.04532,6195.6533
2018/8/13,10,15,8,7,8,7,11,85,86,45,37,5,14,4,6486.56014,6311.1317
2018/8/14,6,6,3,9,6,5,9,27,50,15,20,1,5,6,6350.08382,6347.07
2018/8/15,7,6,40,2,15,9,5,34,60,15,31,7,5,5,6329.42444,6050.9425
2018/8/16,5,7,26,2,12,5,7,34,71,22,43,6,3,4,6260.25844,6362.6769
2018/8/17,4,1,18,4,13,9,10,32,57,21,28,4,11,11,6253.49488,6342.6292
2018/8/18,6,6,4,6,14,7,16,21,34,19,23,5,3,7,6282.89006,6476.9
2018/8/19,4,3,12,6,26,2,2,20,38,15,14,2,7,1,6316.04372,6436.7208
2018/8/20,11,6,74,2,21,3,6,36,63,17,32,4,4,2,6333.97388,6404.0633
2018/8/21,1,3,4,4,9,5,0,25,38,19,22,5,2,3,6404.59804,6434.5592
2018/8/22,4,6,27,4,14,4,4,17,39,17,23,3,6,2,6418.9745,6401.2462
2018/8/23,7,8,72,6,14,6,4,51,53,19,44,7,7,5,6430.6979,6575.2292
2018/8/24,7,6,5,3,20,2,6,29,41,13,16,3,6,1,6450.36374,6434.8817
2018/8/25,6,4,15,6,7,3,3,69,47,38,34,10,8,9,6449.99592,6543.6457
2018/8/26,4,7,20,3,11,6,10,36,51,30,27,3,6,5,6477.9124,6719.4292
2018/8/27,1,12,10,6,11,4,4,43,64,19,25,5,7,9,6534.8864,6673.2742
2018/8/28,6,10,6,10,24,5,10,44,58,15,23,6,7,4,6589.292,6719.2662
2018/8/29,5,12,5,3,15,3,7,28,49,21,17,4,7,10,6618.0994,7000.04
2018/8/30,2,7,21,6,12,3,3,48,67,21,34,2,5,8,6731.13106,7054.2764
2018/8/31,9,17,43,9,20,13,11,58,88,34,51,9,13,9,6833.2572,6932.6625
2018/9/1,5,4,28,6,5,5,6,33,65,22,16,4,6,1,6875.90386,6981.9462
2018/9/2,14,2,72,7,11,11,8,28,59,15,23,2,5,4,6937.63826,7100.9467
2018/9/3,12,14,8,7,12,12,10,79,143,61,61,10,14,12,7013.97436,7247.9354
2018/9/4,4,10,11,6,18,6,5,43,67,21,23,7,4,4,7063.55344,7260.9492
2018/9/5,6,7,36,10,30,12,12,64,84,31,39,15,12,12,7104.888,7326.8525
2018/9/6,9,4,50,7,9,10,5,33,76,52,35,9,6,10,7183.726,7113.0692
2018/9/7,2,6,41,13,12,6,5,48,54,44,45,5,7,4,7209.9506,6433.2717
2018/9/8,10,6,25,10,21,5,10,39,64,32,43,5,11,6,7076.4156,6444.8042
2018/9/9,12,9,4,11,10,13,9,65,114,39,45,10,13,7,6915.78936,6366.1075
2018/9/10,4,3,2,4,12,5,7,49,50,15,25,5,2,6,6736.82102,6286.4258
2018/9/11,6,10,45,9,25,14,13,40,93,46,34,14,4,5,6528.73568,6297.8777
2018/9/12,6,6,2,7,19,6,7,73,117,41,36,13,14,2,6365.69738,6296.3208
2018/9/13,4,4,2,0,18,7,3,24,33,14,20,2,5,3,6338.3072,6273.1375
2018/9/14,4,6,78,3,9,3,8,20,50,11,37,9,6,5,6303.97386,6450.1792
2018/9/15,6,6,11,6,20,6,7,53,81,20,52,4,6,8,6320.7882,6499.0625
2018/9/16,6,7,5,3,14,5,2,47,59,25,36,2,5,7,6363.31554,6518.655
2018/9/17,3,3,5,5,17,7,4,27,49,13,28,5,8,5,6407.471,6480.6442
2018/9/18,2,14,31,1,22,12,5,81,105,46,39,7,11,7,6444.33568,6400.6008
2018/9/19,5,10,2,4,63,11,2,64,81,32,20,5,5,10,6469.82834,6296.6317
2018/9/20,7,3,1,2,11,5,4,20,39,10,17,3,6,2,6439.11884,6335.8267
2018/9/21,6,11,3,4,13,15,3,30,75,25,22,8,9,8,6406.47168,6418.5627
2018/9/22,3,3,1,1,6,1,4,21,43,17,20,4,3,3,6386.45322,6669.9908
2018/9/23,2,2,1,5,4,3,1,16,25,6,16,2,1,1,6424.32254,6709.3125
2018/9/24,4,2,2,1,4,5,0,10,28,7,6,1,7,0,6486.06488,6710.445
2018/9/25,6,9,2,10,20,8,4,40,64,25,34,9,14,6,6568.82754,6639.3042
2018/9/26,5,7,8,7,27,5,4,58,78,29,59,11,9,5,6629.52304,6412.4592
2018/9/27,3,8,2,7,26,18,3,44,50,27,29,7,5,8,6628.30234,6468.6317
2018/9/28,0,7,11,1,12,6,2,17,36,9,20,2,6,2,6588.03052,6535.4767
2018/9/29,1,8,2,5,11,3,3,22,42,18,16,2,3,6,6553.26336,6677.3425
2018/9/30,3,4,4,6,8,12,5,64,66,26,39,6,14,6,6546.64286,6550.4742
2018/10/1,4,1,0,3,13,2,0,14,23,17,12,1,4,2,6528.87686,6593.135
2018/10/2,2,7,2,9,12,7,5,28,27,23,20,4,12,5,6565.01202,6590.9683
2018/10/3,3,8,5,5,9,8,2,31,38,18,25,4,5,3,6589.47934,6562.6417
2018/10/4,12,2,4,2,6,2,2,17,25,11,12,2,5,2,6594.91234,6470.4025
2018/10/5,6,6,3,4,32,0,4,35,54,21,26,3,7,2,6553.52434,6563.6283
2018/10/6,3,5,8,3,6,3,2,26,32,6,15,0,3,4,6556.15516,6568.5492
2018/10/7,0,5,0,7,6,4,2,25,37,11,27,5,3,5,6551.238,6581.4867
2018/10/8,5,7,27,5,8,11,5,38,87,31,51,8,9,9,6549.34168,6558.5375
2018/10/9,5,1,1,3,7,3,1,10,18,13,10,1,0,1,6548.52084,6618.5677
2018/10/10,9,8,6,5,23,2,3,18,47,19,15,2,5,8,6578.15388,6621.7117
2018/10/11,4,8,1,2,9,5,7,39,70,14,26,7,4,6,6589.77056,6563.0092
2018/10/12,5,6,1,1,3,1,7,20,35,10,5,5,4,3,6588.66256,6248.6358
2018/10/13,5,3,1,2,7,6,3,23,26,4,19,0,2,1,6522.09238,6260.5308
2018/10/14,4,0,0,3,3,4,2,12,29,10,10,3,2,3,6462.49104,6260.6458
2018/10/15,6,5,1,3,10,4,5,24,48,13,21,5,6,3,6390.90666,6299.3992
2018/10/16,4,2,10,7,16,9,5,26,35,11,17,3,0,4,6326.44416,6452.5717
2018/10/17,2,6,1,3,7,5,5,28,40,21,25,5,4,2,6304.35666,6596.6183
2018/10/18,2,1,0,8,7,2,2,23,38,14,15,4,8,4,6373.95316,6596.2762
2018/10/19,4,9,2,3,7,1,5,35,41,21,27,1,6,4,6441.10224,6568.0408
2018/10/20,2,3,1,1,3,2,1,19,27,6,14,5,2,1,6502.58124,6487.4442
2018/10/21,3,1,1,2,4,2,1,17,29,15,17,2,0,3,6540.19024,6488.8258
2018/10/22,4,2,1,2,12,2,3,16,34,10,8,6,4,10,6547.44106,6531.6017
2018/10/23,2,0,1,0,8,4,6,17,53,20,19,0,7,3,6534.43774,6498.4858
2018/10/24,1,3,1,3,8,1,7,29,42,10,18,1,5,2,6514.87966,6481.426
2018/10/25,3,4,5,6,19,5,3,49,43,15,21,2,4,8,6497.5567,6508.31
2018/10/26,8,6,7,6,13,5,6,48,56,19,22,4,7,2,6501.72986,6478.0825
2018/10/27,3,10,4,6,2,5,1,24,25,12,11,5,2,4,6499.5812,6473.7533
2018/10/28,1,5,1,5,5,6,12,41,53,14,16,1,3,8,6488.01152,6465.9175
2018/10/29,6,4,3,3,10,7,3,31,48,14,18,5,5,7,6481.49786,6448.2217
2018/10/30,5,7,6,3,8,6,4,13,43,4,18,1,8,2,6474.857,6382.6683
2018/10/31,2,3,2,9,16,5,3,28,31,12,15,4,4,2,6449.72866,6309.4529
2018/11/1,2,6,2,4,10,4,3,27,47,12,19,3,3,6,6416.00274,6310.2842
2018/11/2,5,5,22,1,16,2,6,36,46,13,20,6,6,5,6383.30892,6342.2808
2018/11/3,8,9,12,10,12,9,7,76,77,30,21,4,11,7,6358.58158,6387.6742
2018/11/4,8,8,8,14,15,6,8,46,55,21,31,12,8,8,6346.47208,6363.7958
2018/11/5,5,7,8,2,16,2,2,36,51,13,26,15,4,7,6342.69758,6391.8733
2018/11/6,5,5,7,9,28,4,2,52,53,35,28,2,9,5,6359.18166,6436.965
2018/11/7,6,9,4,7,13,1,3,35,54,22,34,0,4,5,6384.51782,6445.3542
2018/11/8,5,5,12,4,10,6,2,37,57,19,21,2,9,8,6405.1325,6538.79
2018/11/9,4,3,2,5,7,5,1,23,28,10,13,5,5,2,6435.35566,6486.2517
2018/11/10,3,6,9,5,5,2,5,18,44,15,16,1,2,2,6459.84684,6411.2808
2018/11/11,5,3,2,8,8,5,9,28,47,13,16,4,3,2,6463.72834,6399.0333
2018/11/12,2,10,5,8,4,6,3,46,41,18,27,2,4,8,6456.142,6378.2683
2018/11/13,5,5,5,5,20,10,5,27,47,16,12,1,4,2,6442.72482,6401.9367
2018/11/14,11,6,11,9,18,8,2,37,45,15,30,4,10,7,6415.35416,6372.0633
2018/11/15,5,2,3,5,10,7,7,38,59,10,31,2,2,7,6392.51648,6176.155
2018/11/16,2,8,6,2,7,10,2,26,56,9,28,2,4,6,6345.49132,5615.18
2018/11/17,4,6,16,3,6,12,3,24,39,16,26,3,0,5,6188.72066,5596.1925
2018/11/18,2,5,5,8,9,7,2,30,46,12,27,3,1,4,6032.3055,5558.2433
2018/11/19,3,14,9,14,14,9,7,59,78,45,28,15,11,7,5863.56682,5606.0442
2018/11/20,4,13,8,2,29,7,10,34,84,24,24,21,9,3,5710.363,5303.9425
2018/11/21,6,2,3,6,20,9,1,41,52,11,29,5,3,2,5535.9205,4671.97
2018/11/22,8,7,3,6,11,6,5,52,69,27,36,4,10,5,5347.2785,4533.6808
2018/11/23,1,1,1,3,17,2,2,7,9,5,6,0,1,0,5134.77616,4548.7975
2018/11/24,4,0,1,1,4,1,0,8,18,6,3,0,0,1,4932.887,4309.3375
2018/11/25,2,2,3,1,1,2,2,7,14,3,8,0,1,2,4673.54566,4293.8408
2018/11/26,2,0,7,5,10,0,2,5,20,5,11,2,3,0,4471.52532,3823.5117
2018/11/27,2,3,2,5,19,6,14,22,27,9,13,1,5,4,4301.83366,3920.5367
2018/11/28,4,2,5,5,8,1,5,22,40,11,14,2,7,2,4179.20484,3751.6683
2018/11/29,1,1,1,8,7,1,6,19,31,15,21,2,3,0,4019.779,4103.4538
2018/11/30,6,2,3,6,15,4,7,13,25,7,8,1,1,2,3978.60226,4263.7833
2018/12/1,4,2,3,1,4,2,0,20,33,3,8,2,2,4,3972.59076,4106.8717
2018/12/2,2,2,1,2,9,4,5,11,41,6,16,7,3,4,4029.26276,4116.7775
2018/12/3,4,8,3,2,17,3,3,13,24,3,8,3,7,4,4068.51092,4167.5467
2018/12/4,1,4,0,3,8,3,0,7,16,13,12,1,6,1,4151.6866,3967.5242
2018/12/5,6,5,4,6,13,5,13,39,39,16,18,2,5,4,4124.50068,3961.4933
2018/12/6,5,5,5,6,5,2,3,37,22,10,18,3,6,7,4064.04268,3858.3492
2018/12/7,1,5,19,2,9,2,3,15,35,3,18,4,0,3,4014.33818,3742.9433
2018/12/8,0,1,1,5,5,7,1,26,29,4,14,4,3,4,3939.57134,3405.6433
2018/12/9,5,3,0,5,1,2,1,19,30,9,15,2,3,3,3787.19066,3435.34
2018/12/10,3,1,0,4,11,0,3,23,26,5,18,4,4,2,3680.75382,3528.8033
2018/12/11,4,4,3,4,12,2,3,24,45,8,20,1,3,4,3594.21582,3523.96
2018/12/12,2,11,11,4,2,10,4,16,36,8,18,5,4,3,3527.33798,3426.19
2018/12/13,2,8,4,4,15,4,1,37,52,15,20,3,5,6,3463.98732,3462.04
2018/12/14,6,4,7,4,9,5,14,26,44,21,34,1,5,3,3475.26666,3406.7625
2018/12/15,2,2,2,2,5,3,2,13,24,5,9,3,4,2,3469.55116,3278.3742
2018/12/16,1,2,4,2,4,2,7,16,30,8,24,4,2,3,3419.46534,3225.2992
2018/12/17,3,8,7,8,13,7,4,63,90,21,30,15,5,13,3359.73318,3271.2383
2018/12/18,6,6,2,5,21,15,3,35,78,30,39,4,16,5,3328.74284,3392.405
2018/12/19,3,5,2,6,7,3,2,27,45,20,12,8,12,3,3314.81584,3567.47
2018/12/20,5,1,1,8,7,1,7,21,34,12,13,1,0,2,3346.95734,3808.0425
2018/12/21,3,5,13,3,13,2,3,23,45,15,22,5,6,6,3452.891,3982.8508
2018/12/22,2,3,4,3,12,6,3,33,52,12,20,5,5,2,3604.40132,4015.6092
2018/12/23,4,1,6,3,8,2,4,32,36,14,18,5,6,5,3753.2755,3910.9733
2018/12/24,1,2,24,3,5,1,3,24,32,12,24,1,5,2,3856.98916,4027.4783
2018/12/25,5,1,2,6,12,7,3,40,52,34,20,14,5,5,3948.99082,4178.5908
2018/12/26,1,2,5,4,1,2,2,18,34,8,22,3,5,2,4023.10048,3813.88
2018/12/27,9,4,8,24,14,14,17,61,74,29,42,8,11,25,3989.30632,3825.3792
2018/12/28,7,8,2,9,21,8,8,84,117,35,51,4,14,10,3951.26032,3747.8392
2018/12/29,4,2,5,6,15,4,3,36,44,15,9,5,4,6,3918.6335,3743.905
2018/12/30,2,4,0,3,5,3,0,16,30,9,15,1,2,1,3861.91884,3912.2858
2018/12/31,0,6,3,4,6,8,2,27,30,5,9,1,2,2,3808.65784,3832.9217
2019/1/1,0,2,0,2,8,1,1,12,11,2,7,0,2,0,3812.46618,3791.5458
2019/1/2,4,3,0,7,12,5,2,42,40,15,26,6,4,5,3805.6995,3752.2717
2019/1/3,1,1,2,2,7,2,3,22,24,5,14,1,1,1,3806.586,3867.1383
2019/1/4,1,1,11,1,8,4,1,17,33,9,11,1,6,2,3831.23266,3865.7975
2019/1/5,0,1,0,5,9,3,4,20,44,16,19,1,5,2,3821.935,3822.6267
2019/1/6,1,2,0,2,2,1,4,9,29,6,13,1,0,1,3819.876,3868.4875
2019/1/7,6,2,7,4,5,4,3,36,59,14,19,0,20,3,3835.26434,3920.4567
2019/1/8,4,5,1,3,4,2,1,26,24,6,5,2,2,5,3868.90134,4036.0933
2019/1/9,0,1,0,2,4,0,1,4,10,1,6,2,1,0,3902.69234,4035.855
2019/1/10,3,0,1,2,17,0,0,11,23,14,12,2,1,0,3936.70384,4034.1383
2019/1/11,3,3,0,2,9,9,5,28,48,23,20,4,5,4,3979.00616,3812.5858
2019/1/12,7,4,1,1,3,4,16,40,61,21,33,1,5,6,3967.82582,3656.7358
2019/1/13,1,0,0,3,2,4,1,21,23,5,9,2,1,1,3915.08164,3646.3458
2019/1/14,2,3,1,1,13,3,1,10,25,5,8,0,2,1,3837.13214,3599.8417
2019/1/15,1,3,0,0,2,0,2,10,18,9,7,3,4,7,3749.92948,3604.1175
2019/1/16,0,3,2,3,12,2,2,12,22,4,8,3,5,0,3663.92532,3656.785
2019/1/17,3,1,0,2,4,3,1,8,13,5,6,1,2,2,3632.76516,3621.2708
2019/1/18,4,5,3,1,13,1,4,13,48,16,24,1,4,4,3625.67216,3619.9642
2019/1/19,4,3,8,7,4,1,4,29,39,11,18,3,1,1,3620.39584,3632.395
2019/1/20,1,1,9,1,5,3,2,11,26,7,9,1,3,1,3626.9065,3690.5233
2019/1/21,2,3,7,1,9,3,1,28,28,8,28,2,2,4,3644.18766,3620.1275
