Date,Topic2,Topic6,Topic8,Topic13,Topic17,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic93,MA_PRICE,Price
13/3/18,6,6,17,41,20,2,8,28,45,11,13,5,3,3,9241.7264,9182.843333
14/3/18,8,8,94,82,23,10,5,27,65,33,50,4,7,4,9186.844067,9154.7
15/3/18,3,6,3,67,16,6,9,42,53,29,47,6,7,4,8999.294733,8151.531667
16/3/18,2,4,81,69,15,3,4,40,58,19,27,2,6,4,8921.718667,8358.121667
17/3/18,6,6,30,62,8,7,0,26,41,23,24,3,5,3,8675.519733,8530.402
18/3/18,18,9,167,162,15,6,8,51,109,36,63,8,7,9,8437.685996,7993.674644
19/3/18,3,0,55,46,10,5,9,28,53,12,22,2,3,3,8241.028996,8171.415
20/3/18,4,4,2,55,26,1,3,28,49,7,13,2,7,3,8293.129329,8412.033333
21/3/18,1,4,26,38,12,5,1,15,41,10,23,4,3,2,8418.894662,8986.948333
22/3/18,2,3,15,36,17,4,6,26,52,15,16,2,5,0,8502.364929,8947.753333
23/3/18,1,5,71,47,9,5,2,20,38,13,31,2,4,2,8641.711666,8690.408333
24/3/18,3,1,132,91,10,7,5,30,64,25,78,5,8,6,8744.794,8686.826667
25/3/18,0,4,96,68,7,8,1,19,60,26,52,2,3,5,8794.863,8662.378333
26/3/18,2,9,141,80,12,7,6,31,91,18,34,4,17,6,8720.932667,8617.296667
27/3/18,4,5,46,80,11,4,10,38,66,15,44,4,6,10,8570.891667,8197.548333
28/3/18,7,6,34,65,20,5,5,42,45,19,26,2,7,5,8408.049,7876.195
29/3/18,11,10,105,101,7,9,6,27,69,18,46,7,8,5,8262.759667,7960.38
30/3/18,8,8,68,70,10,8,4,35,47,18,37,3,4,3,7964.74,7172.28
31/3/18,11,6,166,120,9,6,8,37,71,15,59,15,7,5,7617.787,6882.531667
1/4/18,9,5,123,96,9,8,6,33,80,29,49,4,10,6,7365.373333,6935.48
2/4/18,8,5,122,71,24,10,4,30,53,24,34,8,13,4,7148.955333,6794.105
3/4/18,0,3,111,89,18,10,4,36,90,24,52,8,11,5,6964.049,7035.848333
4/4/18,4,2,19,26,13,3,2,17,32,11,16,3,4,3,7011.68,7410.435
5/4/18,4,4,2,41,10,7,4,36,38,15,23,0,6,3,6992.726,6787.761667
6/4/18,1,0,1,23,7,6,7,12,27,7,8,2,1,2,6970.932,6826.51
7/4/18,7,5,7,34,3,3,1,22,35,11,11,3,4,4,6932.886333,6603.876667
8/4/18,3,4,6,42,8,4,3,23,47,10,15,1,5,5,6911.254267,6927.688
9/4/18,2,2,5,19,14,8,5,14,24,8,5,4,1,0,6832.6986,7017.656667
10/4/18,3,5,46,49,11,4,7,24,45,14,21,1,5,7,6815.000933,6699.273333
11/4/18,4,0,3,47,4,1,3,27,32,15,21,4,5,6,6807.213267,6787.571667
12/4/18,4,4,5,36,13,3,1,16,40,13,11,3,4,2,6871.691267,6926.266667
13/4/18,3,0,29,62,12,4,0,19,47,15,28,8,5,3,7055.722667,7847.845
14/4/18,2,1,60,65,7,5,3,19,47,13,29,7,3,3,7231.273,7895.408333
15/4/18,5,4,131,70,25,5,6,32,54,21,37,4,8,5,7498.720544,8036.511051
16/4/18,4,3,68,49,10,7,5,32,41,11,26,2,6,9,7809.355877,8340.748333
17/4/18,2,4,95,61,14,8,8,21,49,22,43,1,5,5,8032.86321,8043.803333
18/4/18,1,5,72,58,9,2,7,21,41,12,32,6,5,0,8042.377595,7895.416926
19/4/18,4,5,35,52,10,6,8,27,31,14,16,4,5,0,8096.283414,8164.937426
20/4/18,6,1,1,17,6,2,1,13,14,5,15,2,5,1,8139.906204,8254.625
21/4/18,2,1,18,36,7,5,1,12,35,15,17,4,5,2,8242.300204,8852.718333
22/4/18,1,1,34,37,8,1,3,13,35,9,18,2,4,1,8394.980537,8807.205
23/4/18,2,1,7,20,9,1,2,14,29,12,9,2,2,1,8583.606818,8838.548333
24/4/18,3,5,53,73,10,10,7,36,52,14,32,3,3,3,8737.391667,8933.861667
25/4/18,3,3,66,44,11,7,4,26,48,15,34,11,3,2,8997.575067,9555.542
26/4/18,7,3,76,47,5,3,4,20,48,13,31,3,0,0,9026.132733,8995.506667
27/4/18,4,2,39,59,6,7,2,35,39,24,30,4,11,3,9116.3714,9258.398333
28/4/18,2,3,75,59,6,5,1,13,42,9,32,5,7,6,9150.725733,9010.32
29/4/18,7,1,67,45,14,6,3,14,40,18,19,3,2,8,9229.188067,9326.173333
30/4/18,2,3,6,28,16,0,2,19,23,10,12,3,6,1,9184.936,9334.281667
1/5/18,3,3,3,43,17,6,5,37,40,10,15,4,3,1,9237.748667,9259.57
2/5/18,4,2,119,91,20,7,5,46,73,33,46,8,6,4,9201.096333,9075.136667
3/5/18,3,4,1,31,12,4,6,20,41,10,15,1,3,0,9243.317533,9221.426
4/5/18,2,2,57,53,21,8,3,29,53,27,41,4,4,1,9305.936533,9639.268333
5/5/18,4,6,52,47,10,4,4,31,36,10,34,1,3,1,9381.2262,9710.73
6/5/18,7,2,98,92,21,1,7,36,63,23,48,2,9,0,9489.973533,9803.306667
7/5/18,4,2,37,67,17,5,6,20,45,21,29,7,5,5,9600.973455,9630.136277
8/5/18,6,8,26,87,24,12,7,52,106,28,41,5,6,6,9625.826255,9345.69
9/5/18,7,5,38,64,11,2,4,34,60,16,20,7,8,6,9543.694255,9228.608333
10/5/18,4,7,71,61,13,2,1,20,46,12,32,6,1,5,9465.956589,9322.041667
11/5/18,7,3,50,66,10,4,1,25,58,22,28,7,5,10,9325.591922,9101.483333
12/5/18,3,6,10,23,6,3,2,18,14,3,11,2,1,3,9093.322267,8468.788
13/5/18,11,3,33,75,12,2,4,33,45,10,25,3,9,3,8921.0536,8484.346667
14/5/18,8,8,384,186,50,8,15,38,127,56,93,4,6,5,8820.862267,8727.651667
15/5/18,7,5,54,74,21,7,4,30,32,15,35,4,3,3,8686.8616,8652.038333
16/5/18,6,5,12,34,9,5,7,23,46,20,12,3,2,2,8568.856533,8511.458
17/5/18,4,2,14,23,6,2,0,11,27,9,8,4,1,2,8543.2396,8340.703333
18/5/18,1,1,11,31,10,1,2,41,41,13,21,1,4,6,8467.593933,8106.118333
19/5/18,2,1,0,15,2,0,3,10,26,7,4,0,1,3,8370.0746,8240.055
20/5/18,4,2,59,41,5,6,3,19,46,9,19,1,0,5,8284.3246,8223.288333
21/5/18,1,0,18,27,11,2,1,10,40,7,17,1,1,1,8283.514333,8507.406667
22/5/18,5,2,3,41,14,11,1,41,50,8,28,4,8,4,8292.484904,8385.556187
23/5/18,1,6,7,64,17,6,4,23,59,24,35,11,6,2,8274.377237,8015.58
24/5/18,2,1,10,35,11,2,3,27,40,18,14,1,5,3,8137.514237,7555.74
25/5/18,3,1,45,43,16,3,3,24,50,21,38,0,4,5,8006.095237,7566.193333
26/5/18,9,5,35,57,10,3,0,28,54,17,27,2,3,2,7793.661571,7445.238333
27/5/18,2,6,5,31,9,4,5,28,55,12,14,1,6,3,7585.132,7342.908333
28/5/18,7,7,20,55,12,6,6,34,51,10,25,5,10,7,7454.382333,7361.831667
