Date,Value,5 day MA,d2,d6,d8,d13,d17,d22,d23,d29,d36,d58,d66,d67,d69,d93
43320,6993.5133,7244.44302,2,3,3,61,22,5,3,27,38,11,19,7,1,3
43321,6450.3669,7124.51584,7,1,0,28,9,3,4,22,31,18,17,2,2,1
43322,6396.7725,6935.68938,7,5,9,114,18,11,7,85,103,54,56,6,16,8
43323,6396.4947,6765.49004,6,5,4,72,5,6,9,41,48,24,28,3,1,7
43324,6195.6533,6645.04532,2,3,6,80,7,1,4,40,55,25,26,5,3,4
43325,6311.1317,6486.56014,10,15,8,96,8,7,11,85,86,45,37,5,14,4
43326,6347.07,6350.08382,6,6,3,60,6,5,9,27,50,15,20,1,5,6
43327,6050.9425,6329.42444,7,6,40,86,15,9,5,34,60,15,31,7,5,5
43328,6362.6769,6260.25844,5,7,26,78,12,5,7,34,71,22,43,6,3,4
43329,6342.6292,6253.49488,4,1,18,69,13,9,10,32,57,21,28,4,11,11
43330,6476.9,6282.89006,6,6,4,48,14,7,16,21,34,19,23,5,3,7
43331,6436.7208,6316.04372,4,3,12,45,26,2,2,20,38,15,14,2,7,1
43332,6404.0633,6333.97388,11,6,74,54,21,3,6,36,63,17,32,4,4,2
43333,6434.5592,6404.59804,1,3,4,41,9,5,0,25,38,19,22,5,2,3
43334,6401.2462,6418.9745,4,6,27,54,14,4,4,17,39,17,23,3,6,2
43335,6575.2292,6430.6979,7,8,72,62,14,6,4,51,53,19,44,7,7,5
43336,6434.8817,6450.36374,7,6,5,37,20,2,6,29,41,13,16,3,6,1
43337,6543.6457,6449.99592,6,4,15,67,7,3,3,69,47,38,34,10,8,9
43338,6719.4292,6477.9124,4,7,20,47,11,6,10,36,51,30,27,3,6,5
43339,6673.2742,6534.8864,1,12,10,71,11,4,4,43,64,19,25,5,7,9
43340,6719.2662,6589.292,6,10,6,72,24,5,10,44,58,15,23,6,7,4
43341,7000.04,6618.0994,5,12,5,36,15,3,7,28,49,21,17,4,7,10
43342,7054.2764,6731.13106,2,7,21,74,12,3,3,48,67,21,34,2,5,8
43343,6932.6625,6833.2572,9,17,43,92,20,13,11,58,88,34,51,9,13,9
43344,6981.9462,6875.90386,5,4,28,72,5,5,6,33,65,22,16,4,6,1
43345,7100.9467,6937.63826,14,2,72,56,11,11,8,28,59,15,23,2,5,4
43346,7247.9354,7013.97436,12,14,8,211,12,12,10,79,143,61,61,10,14,12
43347,7260.9492,7063.55344,4,10,11,77,18,6,5,43,67,21,23,7,4,4
43348,7326.8525,7104.888,6,7,36,105,30,12,12,64,84,31,39,15,12,12
43349,7113.0692,7183.726,9,4,50,102,9,10,5,33,76,52,35,9,6,10
43350,6433.2717,7209.9506,2,6,41,86,12,6,5,48,54,44,45,5,7,4
43351,6444.8042,7076.4156,10,6,25,49,21,5,10,39,64,32,43,5,11,6
43352,6366.1075,6915.78936,12,9,4,157,10,13,9,65,114,39,45,10,13,7
43353,6286.4258,6736.82102,4,3,2,69,12,5,7,49,50,15,25,5,2,6
43354,6297.8777,6528.73568,6,10,45,66,25,14,13,40,93,46,34,14,4,5
43355,6296.3208,6365.69738,6,6,2,105,19,6,7,73,117,41,36,13,14,2
43356,6273.1375,6338.3072,4,4,2,37,18,7,3,24,33,14,20,2,5,3
43357,6450.1792,6303.97386,4,6,78,49,9,3,8,20,50,11,37,9,6,5
43358,6499.0625,6320.7882,6,6,11,92,20,6,7,53,81,20,52,4,6,8
43359,6518.655,6363.31554,6,7,5,49,14,5,2,47,59,25,36,2,5,7
43360,6480.6442,6407.471,3,3,5,68,17,7,4,27,49,13,28,5,8,5
43361,6400.6008,6444.33568,2,14,31,112,22,12,5,81,105,46,39,7,11,7
43362,6296.6317,6469.82834,5,10,2,73,63,11,2,64,81,32,20,5,5,10
43363,6335.8267,6439.11884,7,3,1,48,11,5,4,20,39,10,17,3,6,2
43364,6418.5627,6406.47168,6,11,3,70,13,15,3,30,75,25,22,8,9,8
43365,6669.9908,6386.45322,3,3,1,36,6,1,4,21,43,17,20,4,3,3
43366,6709.3125,6424.32254,2,2,1,24,4,3,1,16,25,6,16,2,1,1
43367,6710.445,6486.06488,4,2,2,23,4,5,0,10,28,7,6,1,7,0
43368,6639.3042,6568.82754,6,9,2,59,20,8,4,40,64,25,34,9,14,6
43369,6412.4592,6629.52304,5,7,8,106,27,5,4,58,78,29,59,11,9,5
43370,6468.6317,6628.30234,3,8,2,69,26,18,3,44,50,27,29,7,5,8
43371,6535.4767,6588.03052,0,7,11,46,12,6,2,17,36,9,20,2,6,2
43372,6677.3425,6553.26336,1,8,2,37,11,3,3,22,42,18,16,2,3,6
43373,6550.4742,6546.64286,3,4,4,69,8,12,5,64,66,26,39,6,14,6
43374,6593.135,6528.87686,4,1,0,22,13,2,0,14,23,17,12,1,4,2
43375,6590.9683,6565.01202,2,7,2,39,12,7,5,28,27,23,20,4,12,5
43376,6562.6417,6589.47934,3,8,5,46,9,8,2,31,38,18,25,4,5,3
43377,6470.4025,6594.91234,12,2,4,39,6,2,2,17,25,11,12,2,5,2
43378,6563.6283,6553.52434,6,6,3,46,32,0,4,35,54,21,26,3,7,2
43379,6568.5492,6556.15516,3,5,8,29,6,3,2,26,32,6,15,0,3,4
43380,6581.4867,6551.238,0,5,0,37,6,4,2,25,37,11,27,5,3,5
43381,6558.5375,6549.34168,5,7,27,98,8,11,5,38,87,31,51,8,9,9
43382,6618.5677,6548.52084,5,1,1,30,7,3,1,10,18,13,10,1,0,1
43383,6621.7117,6578.15388,9,8,6,65,23,2,3,18,47,19,15,2,5,8
43384,6563.0092,6589.77056,4,8,1,50,9,5,7,39,70,14,26,7,4,6
43385,6248.6358,6588.66256,5,6,1,20,3,1,7,20,35,10,5,5,4,3
43386,6260.5308,6522.09238,5,3,1,22,7,6,3,23,26,4,19,0,2,1
43387,6260.6458,6462.49104,4,0,0,30,3,4,2,12,29,10,10,3,2,3
43388,6299.3992,6390.90666,6,5,1,44,10,4,5,24,48,13,21,5,6,3
43389,6452.5717,6326.44416,4,2,10,33,16,9,5,26,35,11,17,3,0,4
43390,6596.6183,6304.35666,2,6,1,49,7,5,5,28,40,21,25,5,4,2
43391,6596.2762,6373.95316,2,1,0,39,7,2,2,23,38,14,15,4,8,4
43392,6568.0408,6441.10224,4,9,2,52,7,1,5,35,41,21,27,1,6,4
43393,6487.4442,6502.58124,2,3,1,28,3,2,1,19,27,6,14,5,2,1
43394,6488.8258,6540.19024,3,1,1,52,4,2,1,17,29,15,17,2,0,3
43395,6531.6017,6547.44106,4,2,1,31,12,2,3,16,34,10,8,6,4,10
43396,6498.4858,6534.43774,2,0,1,20,8,4,6,17,53,20,19,0,7,3
43397,6481.426,6514.87966,1,3,1,41,8,1,7,29,42,10,18,1,5,2
43398,6508.31,6497.5567,3,4,5,48,19,5,3,49,43,15,21,2,4,8
43399,6478.0825,6501.72986,8,6,7,52,13,5,6,48,56,19,22,4,7,2
43400,6473.7533,6499.5812,3,10,4,37,2,5,1,24,25,12,11,5,2,4
43401,6465.9175,6488.01152,1,5,1,50,5,6,12,41,53,14,16,1,3,8
43402,6448.2217,6481.49786,6,4,3,56,10,7,3,31,48,14,18,5,5,7
43403,6382.6683,6474.857,5,7,6,38,8,6,4,13,43,4,18,1,8,2
43404,6309.4529,6449.72866,2,3,2,19,16,5,3,28,31,12,15,4,4,2
43405,6310.2842,6416.00274,2,6,2,57,10,4,3,27,47,12,19,3,3,6
43406,6342.2808,6383.30892,5,5,22,59,16,2,6,36,46,13,20,6,6,5
43407,6387.6742,6358.58158,8,9,12,87,12,9,7,76,77,30,21,4,11,7
43408,6363.7958,6346.47208,8,8,8,53,15,6,8,46,55,21,31,12,8,8
43409,6391.8733,6342.69758,5,7,8,56,16,2,2,36,51,13,26,15,4,7
43410,6436.965,6359.18166,5,5,7,84,28,4,2,52,53,35,28,2,9,5
43411,6445.3542,6384.51782,6,9,4,63,13,1,3,35,54,22,34,0,4,5
43412,6538.79,6405.1325,5,5,12,66,10,6,2,37,57,19,21,2,9,8
43413,6486.2517,6435.35566,4,3,2,42,7,5,1,23,28,10,13,5,5,2
43414,6411.2808,6459.84684,3,6,9,52,5,2,5,18,44,15,16,1,2,2
43415,6399.0333,6463.72834,5,3,2,52,8,5,9,28,47,13,16,4,3,2
43416,6378.2683,6456.142,2,10,5,61,4,6,3,46,41,18,27,2,4,8
43417,6401.9367,6442.72482,5,5,5,52,20,10,5,27,47,16,12,1,4,2
43418,6372.0633,6415.35416,11,6,11,75,18,8,2,37,45,15,30,4,10,7
43419,6176.155,6392.51648,5,2,3,79,10,7,7,38,59,10,31,2,2,7
43420,5615.18,6345.49132,2,8,6,64,7,10,2,26,56,9,28,2,4,6
43421,5596.1925,6188.72066,4,6,16,43,6,12,3,24,39,16,26,3,0,5
43422,5558.2433,6032.3055,2,5,5,48,9,7,2,30,46,12,27,3,1,4
43423,5606.0442,5863.56682,3,14,9,93,14,9,7,59,78,45,28,15,11,7
43424,5303.9425,5710.363,4,13,8,79,29,7,10,34,84,24,24,21,9,3
43425,4671.97,5535.9205,6,2,3,75,20,9,1,41,52,11,29,5,3,2
43426,4533.6808,5347.2785,8,7,3,76,11,6,5,52,69,27,36,4,10,5
43427,4548.7975,5134.77616,1,1,1,19,17,2,2,7,9,5,6,0,1,0
43428,4309.3375,4932.887,4,0,1,24,4,1,0,8,18,6,3,0,0,1
43429,4293.8408,4673.54566,2,2,3,36,1,2,2,7,14,3,8,0,1,2
43430,3823.5117,4471.52532,2,0,7,34,10,0,2,5,20,5,11,2,3,0
43431,3920.5367,4301.83366,2,3,2,31,19,6,14,22,27,9,13,1,5,4
43432,3751.6683,4179.20484,4,2,5,37,8,1,5,22,40,11,14,2,7,2
43433,4103.4538,4019.779,1,1,1,33,7,1,6,19,31,15,21,2,3,0
43434,4263.7833,3978.60226,6,2,3,27,15,4,7,13,25,7,8,1,1,2
43435,4106.8717,3972.59076,4,2,3,18,4,2,0,20,33,3,8,2,2,4
43436,4116.7775,4029.26276,2,2,1,24,9,4,5,11,41,6,16,7,3,4
43437,4167.5467,4068.51092,4,8,3,23,17,3,3,13,24,3,8,3,7,4
43438,3967.5242,4151.6866,1,4,0,16,8,3,0,7,16,13,12,1,6,1
43439,3961.4933,4124.50068,6,5,4,56,13,5,13,39,39,16,18,2,5,4
43440,3858.3492,4064.04268,5,5,5,46,5,2,3,37,22,10,18,3,6,7
43441,3742.9433,4014.33818,1,5,19,45,9,2,3,15,35,3,18,4,0,3
43442,3405.6433,3939.57134,0,1,1,30,5,7,1,26,29,4,14,4,3,4
43443,3435.34,3787.19066,5,3,0,30,1,2,1,19,30,9,15,2,3,3
43444,3528.8033,3680.75382,3,1,0,33,11,0,3,23,26,5,18,4,4,2
43445,3523.96,3594.21582,4,4,3,46,12,2,3,24,45,8,20,1,3,4
43446,3426.19,3527.33798,2,11,11,41,2,10,4,16,36,8,18,5,4,3
43447,3462.04,3463.98732,2,8,4,65,15,4,1,37,52,15,20,3,5,6
43448,3406.7625,3475.26666,6,4,7,56,9,5,14,26,44,21,34,1,5,3
43449,3278.3742,3469.55116,2,2,2,25,5,3,2,13,24,5,9,3,4,2
43450,3225.2992,3419.46534,1,2,4,26,4,2,7,16,30,8,24,4,2,3
43451,3271.2383,3359.73318,3,8,7,64,13,7,4,63,90,21,30,15,5,13
43452,3392.405,3328.74284,6,6,2,95,21,15,3,35,78,30,39,4,16,5
43453,3567.47,3314.81584,3,5,2,46,7,3,2,27,45,20,12,8,12,3
43454,3808.0425,3346.95734,5,1,1,44,7,1,7,21,34,12,13,1,0,2
43455,3982.8508,3452.891,3,5,13,66,13,2,3,23,45,15,22,5,6,6
43456,4015.6092,3604.40132,2,3,4,54,12,6,3,33,52,12,20,5,5,2
43457,3910.9733,3753.2755,4,1,6,43,8,2,4,32,36,14,18,5,6,5
43458,4027.4783,3856.98916,1,2,24,47,5,1,3,24,32,12,24,1,5,2
43459,4178.5908,3948.99082,5,1,2,59,12,7,3,40,52,34,20,14,5,5
43460,3813.88,4023.10048,1,2,5,29,1,2,2,18,34,8,22,3,5,2
43461,3825.3792,3989.30632,9,4,8,116,14,14,17,61,74,29,42,8,11,25
43462,3747.8392,3951.26032,7,8,2,114,21,8,8,84,117,35,51,4,14,10
43463,3743.905,3918.6335,4,2,5,33,15,4,3,36,44,15,9,5,4,6
43464,3912.2858,3861.91884,2,4,0,28,5,3,0,16,30,9,15,1,2,1
43465,3832.9217,3808.65784,0,6,3,23,6,8,2,27,30,5,9,1,2,2
43466,3791.5458,3812.46618,0,2,0,20,8,1,1,12,11,2,7,0,2,0
43467,3752.2717,3805.6995,4,3,0,39,12,5,2,42,40,15,26,6,4,5
43468,3867.1383,3806.586,1,1,2,24,7,2,3,22,24,5,14,1,1,1
43469,3865.7975,3831.23266,1,1,11,25,8,4,1,17,33,9,11,1,6,2
43470,3822.6267,3821.935,0,1,0,31,9,3,4,20,44,16,19,1,5,2
43471,3868.4875,3819.876,1,2,0,31,2,1,4,9,29,6,13,1,0,1
43472,3920.4567,3835.26434,6,2,7,45,5,4,3,36,59,14,19,0,20,3
43473,4036.0933,3868.90134,4,5,1,39,4,2,1,26,24,6,5,2,2,5
43474,4035.855,3902.69234,0,1,0,10,4,0,1,4,10,1,6,2,1,0
43475,4034.1383,3936.70384,3,0,1,28,17,0,0,11,23,14,12,2,1,0
43476,3812.5858,3979.00616,3,3,0,48,9,9,5,28,48,23,20,4,5,4
43477,3656.7358,3967.82582,7,4,1,69,3,4,16,40,61,21,33,1,5,6
43478,3646.3458,3915.08164,1,0,0,21,2,4,1,21,23,5,9,2,1,1
43479,3599.8417,3837.13214,2,3,1,17,13,3,1,10,25,5,8,0,2,1
43480,3604.1175,3749.92948,1,3,0,18,2,0,2,10,18,9,7,3,4,7
43481,3656.785,3663.92532,0,3,2,14,12,2,2,12,22,4,8,3,5,0
43482,3621.2708,3632.76516,3,1,0,19,4,3,1,8,13,5,6,1,2,2
43483,3619.9642,3625.67216,4,5,3,55,13,1,4,13,48,16,24,1,4,4
43484,3632.395,3620.39584,4,3,8,39,4,1,4,29,39,11,18,3,1,1
43485,3690.5233,3626.9065,1,1,9,13,5,3,2,11,26,7,9,1,3,1
43486,3620.1275,3644.18766,2,3,7,25,9,3,1,28,28,8,28,2,2,4
