"Date","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10"
2018-09-21,"153","146","150","74","100","186","96","136","179","160"
2018-09-22,"94","74","55","19","48","97","72","118","81","104"
2018-09-23,"82","57","80","39","35","55","37","66","72","55"
2018-09-24,"47","59","63","24","40","40","32","61","47","50"
2018-09-25,"84","133","119","68","85","175","64","232","184","180"
2018-09-26,"123","158","200","125","112","211","106","325","199","273"
2018-09-27,"83","94","143","94","85","102","59","204","84","120"
2018-09-28,"65","92","81","51","49","78","41","121","73","88"
2018-09-29,"67","99","75","57","64","107","54","103","118","101"
2018-09-30,"86","175","130","86","93","161","86","290","126","215"
2018-10-01,"45","61","65","52","22","64","26","51","67","45"
2018-10-02,"59","98","72","60","48","94","48","145","88","117"
2018-10-03,"101","97","132","63","85","123","67","130","119","109"
2018-10-04,"57","83","55","42","46","68","50","105","65","97"
2018-10-05,"58","92","83","94","57","103","60","215","97","116"
2018-10-06,"44","56","71","36","76","87","56","82","95","77"
2018-10-07,"59","89","75","30","61","61","58","63","109","72"
2018-10-08,"109","129","145","74","146","137","82","248","155","227"
2018-10-09,"58","41","49","25","34","42","40","39","51","38"
2018-10-10,"126","81","75","83","76","95","44","78","96","70"
2018-10-11,"107","91","90","48","80","154","57","117","188","112"
2018-10-12,"55","79","56","37","49","100","73","100","91","62"
2018-10-13,"50","68","74","45","56","69","60","80","81","61"
2018-10-14,"68","60","51","21","39","64","42","82","67","53"
2018-10-15,"77","85","79","62","63","102","64","107","140","101"
2018-10-16,"73","91","84","62","80","92","53","91","84","86"
2018-10-17,"71","95","109","48","71","96","69","144","98","103"
2018-10-18,"43","89","88","59","56","77","59","76","135","58"
2018-10-19,"53","106","101","59","64","97","60","136","134","108"
2018-10-20,"28","61","51","32","36","72","40","121","42","93"
2018-10-21,"45","73","72","39","53","82","57","129","93","72"
2018-10-22,"36","63","94","46","46","50","69","96","72","75"
2018-10-23,"44","68","88","51","52","98","57","150","78","115"
2018-10-24,"67","81","108","53","57","87","86","83","65","90"
2018-10-25,"102","88","113","63","75","92","70","204","86","179"
2018-10-26,"62","135","117","83","89","136","68","177","197","117"
2018-10-27,"46","70","85","33","38","94","44","111","60","86"
2018-10-28,"58","116","75","46","46","130","80","161","129","151"
2018-10-29,"64","94","108","55","58","143","81","154","136","136"
2018-10-30,"47","72","98","64","58","77","58","102","82","82"
2018-10-31,"69","63","77","55","50","94","52","120","75","83"
2018-11-01,"92","88","74","52","56","92","50","141","79","81"
2018-11-02,"101","83","116","70","124","111","87","175","102","119"
2018-11-03,"119","134","172","100","129","196","121","415","137","227"
2018-11-04,"99","127","143","79","101","172","120","315","96","204"
